Gene	Length(codons)	Average reads (per codon)	Sum of reads
YAL007C	216	47.6203703704	10286
YAL008W	199	12.5829145729	2504
YAL009W	260	2.88076923077	749
YAL010C	494	1.95951417004	968
YAL012W	395	321.802531646	127112
YAL013W	406	7.63054187192	3098
YAL014C	256	6.9609375	1782
YAL015C	400	2.495	998
YAL016W	636	32.9308176101	20944
YAL017W	1357	2.21444362564	3005
YAL019W	1132	8.70671378092	9856
YAL020C	334	3.02395209581	1010
YAL022C	518	7.88996138996	4087
YAL023C	760	30.35	23066
YAL025C	307	34.0977198697	10468
YAL027W	262	2.63740458015	691
YAL029C	1472	2.38858695652	3516
YAL031C	761	1.55716162943	1185
YAL032C	380	4.18947368421	1592
YAL033W	174	14.5804597701	2537
YAL034W-A	290	2.53793103448	736
YAL036C	370	48.3540540541	17891
YAL038W	501	3759.84830339	1883684
YAL039C	270	8.88518518519	2399
YAL040C	581	2.48020654045	1441
YAL041W	855	5.30643274854	4537
YAL042W	416	31.5096153846	13108
YAL043C	786	6.67557251908	5247
YAL044C	171	136.941520468	23417
YAL044W-A	111	26.1711711712	2905
YAL046C	119	18.1260504202	2157
YAL047C	623	2.14606741573	1337
YAL048C	663	1.93212669683	1281
YAL049C	247	22.4129554656	5536
YAL051W	1048	2.73664122137	2868
YAL053W	784	7.99234693878	6266
YAL055W	181	3.54143646409	641
YAL056W	881	1.23723041998	1090
YAL058W	503	3.50099403579	1761
YAL059W	213	21.8544600939	4655
YAL060W	383	28.0548302872	10745
YAR002C-A	220	63.1772727273	13899
YAR002W	540	16.1981481481	8747
YAR003W	427	2.96955503513	1268
YAR007C	622	19.2025723473	11944
YAR008W	276	4.28260869565	1182
YAR014C	710	6.77464788732	4810
YAR015W	307	46.7133550489	14341
YAR018C	436	3.34174311927	1457
YBL001C	105	72.5142857143	7614
YBL004W	2494	6.02325581395	15022
YBL006C	181	19.9779005525	3616
YBL007C	1245	25.3678714859	31583
YBL008W	841	1.97027348395	1657
YBL009W	677	5.55686853767	3762
YBL010C	281	5.0462633452	1418
YBL013W	402	1.2039800995	484
YBL015W	527	5.0265654649	2649
YBL016W	354	8.06214689266	2854
YBL020W	575	3.62434782609	2084
YBL021C	145	9.35172413793	1356
YBL022C	1134	15.1543209877	17185
YBL023C	869	6.21864211738	5404
YBL024W	685	35.8160583942	24534
YBL025W	146	7.54109589041	1101
YBL028C	107	76.1869158879	8152
YBL029C-A	95	7.11578947368	676
YBL030C	319	129.338557994	41259
YBL031W	339	2.66076696165	902
YBL032W	382	37.2931937173	14246
YBL033C	346	11.2774566474	3902
YBL034C	1514	1.98150594452	3000
YBL035C	706	6.29886685552	4447
YBL036C	258	33.984496124	8768
YBL037W	1026	2.58674463938	2654
YBL038W	233	12.0858369099	2816
YBL039W-B	60	1.45	87
YBL041W	242	85.458677686	20681
YBL042C	640	11.3359375	7255
YBL045C	458	21.307860262	9759
YBL046W	442	4.50226244344	1990
YBL047C	1382	23.6910274964	32741
YBL051C	669	16.2062780269	10842
YBL054W	526	8.46768060837	4454
YBL055C	419	6.38424821002	2675
YBL056W	469	20.4371002132	9585
YBL057C	209	15.1052631579	3157
YBL058W	424	45.0141509434	19086
YBL060W	688	1.69476744186	1166
YBL061C	697	7.12769010043	4968
YBL063W	1112	1.34532374101	1496
YBL064C	262	15.4389312977	4045
YBL067C	748	3.66443850267	2741
YBL068W	327	23.1376146789	7566
YBL071W-A	83	51.6506024096	4287
YBL074C	356	2.51685393258	896
YBL076C	1073	79.2264678472	85010
YBL078C	118	8.83898305085	1043
YBL079W	1503	4.36526946108	6561
YBL085W	981	4.58613659531	4499
YBL086C	467	2.89935760171	1354
YBL089W	460	2.3347826087	1074
YBL090W	178	12.7078651685	2262
YBL091C	422	40.4099526066	17053
YBL092W	131	2424.63358779	317627
YBL093C	221	17.7013574661	3912
YBL095W	271	1.79704797048	487
YBL097W	755	1.9178807947	1448
YBL098W	461	5.50759219089	2539
YBL099W	546	97.0879120879	53010
YBL101C	1118	2.28264758497	2552
YBL102W	216	18.3888888889	3972
YBL103C	487	4.49281314168	2188
YBL104C	1039	1.86140519731	1934
YBL105C	1152	3.421875	3942
YBL107C	197	7.48730964467	1475
YBR002C	287	7.37630662021	2117
YBR003W	474	4.07594936709	1932
YBR004C	434	3.6866359447	1600
YBR005W	214	3.29439252336	705
YBR006W	498	2.37550200803	1183
YBR007C	737	2.13297150611	1572
YBR011C	288	634.368055556	182698
YBR012C	140	3.16428571429	443
YBR013C	130	4.07692307692	530
YBR014C	204	18.8333333333	3842
YBR015C	598	14.1806020067	8480
YBR016W	129	71.7829457364	9260
YBR021W	634	1.74132492114	1104
YBR022W	178	7.47191011236	1330
YBR023C	1166	4.59605488851	5359
YBR024W	302	3.3940397351	1025
