Gene	Length(codons)	Average reads (per codon)	Sum of reads
YAL002W	1275	1.20549019608	1537
YAL007C	216	65.3055555556	14106
YAL008W	199	18.8944723618	3760
YAL009W	260	4.45	1157
YAL010C	494	2.87044534413	1418
YAL012W	395	446.979746835	176557
YAL013W	406	11.3694581281	4616
YAL014C	256	9.73828125	2493
YAL015C	400	3.5325	1413
YAL016W	636	47.5094339623	30216
YAL017W	1357	3.54900515844	4816
YAL019W	1132	12.788869258	14477
YAL020C	334	4.44011976048	1483
YAL022C	518	11.6196911197	6019
YAL023C	760	43.1802631579	32817
YAL024C	1436	1.38509749304	1989
YAL025C	307	45.2117263844	13880
YAL027W	262	3.61450381679	947
YAL029C	1472	3.49116847826	5139
YAL031C	761	2.30354796321	1753
YAL032C	380	5.54736842105	2108
YAL033W	174	18.8390804598	3278
YAL034W-A	290	3.61724137931	1049
YAL036C	370	65.9	24383
YAL038W	501	5180.9760479	2595669
YAL039C	270	12.8777777778	3477
YAL040C	581	3.28227194492	1907
YAL041W	855	7.85614035088	6717
YAL042W	416	43.7692307692	18208
YAL043C	786	9.74427480916	7659
YAL044C	171	185.34502924	31694
YAL044W-A	111	35.2342342342	3911
YAL046C	119	26.0672268908	3102
YAL047C	623	3.0	1869
YAL048C	663	2.76923076923	1836
YAL049C	247	31.3805668016	7751
YAL051W	1048	4.04198473282	4236
YAL053W	784	11.262755102	8830
YAL055W	181	5.49171270718	994
YAL056W	881	1.69353007946	1492
YAL058W	503	4.80914512922	2419
YAL059W	213	29.3568075117	6253
YAL060W	383	37.2349869452	14261
YAL061W	418	1.46172248804	611
YAR002C-A	220	91.1	20042
YAR002W	540	23.5962962963	12742
YAR003W	427	4.42388758782	1889
YAR007C	622	26.770096463	16651
YAR008W	276	6.68115942029	1844
YAR014C	710	11.7154929577	8318
YAR015W	307	65.0488599349	19970
YAR018C	436	5.08944954128	2219
YAR019C	975	1.15384615385	1125
YAR042W	1189	4.44995794786	5291
YBL001C	105	103.647619048	10883
YBL004W	2494	9.99919807538	24938
YBL005W	977	1.75230296827	1712
YBL006C	181	27.5303867403	4983
YBL007C	1245	39.6048192771	49308
YBL008W	841	3.14863258026	2648
YBL009W	677	7.80502215657	5284
YBL010C	281	6.51957295374	1832
YBL013W	402	1.65174129353	664
YBL014C	895	1.45251396648	1300
YBL015W	527	7.62998102467	4021
YBL016W	354	11.4265536723	4045
YBL019W	521	1.37428023033	716
YBL020W	575	5.50782608696	3167
YBL021C	145	13.6344827586	1977
YBL022C	1134	24.2398589065	27488
YBL023C	869	9.79631760644	8513
YBL024W	685	52.1255474453	35706
YBL025W	146	11.5136986301	1681
YBL028C	107	107.887850467	11544
YBL029C-A	95	9.65263157895	917
YBL029W	377	1.15649867374	436
YBL030C	319	185.526645768	59183
YBL031W	339	3.85250737463	1306
YBL032W	382	57.4083769634	21930
YBL033C	346	16.0462427746	5552
YBL034C	1514	3.12417437252	4730
YBL035C	706	9.25637393768	6535
YBL036C	258	50.0271317829	12907
YBL037W	1026	4.11111111111	4218
YBL038W	233	18.5579399142	4324
YBL039W-B	60	2.16666666667	130
YBL041W	242	124.665289256	30169
YBL042C	640	17.25625	11044
YBL045C	458	32.6943231441	14974
YBL046W	442	6.69683257919	2960
YBL047C	1382	37.0672937771	51227
YBL051C	669	27.0523168909	18098
YBL052C	832	1.36538461538	1136
YBL054W	526	12.6463878327	6652
YBL055C	419	8.77804295943	3678
YBL056W	469	30.3646055437	14241
YBL057C	209	21.2344497608	4438
YBL058W	424	64.1981132075	27220
YBL060W	688	2.43023255814	1672
YBL061C	697	11.0616929699	7710
YBL063W	1112	2.05035971223	2280
YBL064C	262	21.5610687023	5649
YBL066C	1149	1.29155787641	1484
YBL067C	748	5.44251336898	4071
YBL068W	327	33.1314984709	10834
YBL071W-A	83	69.4698795181	5766
YBL074C	356	3.79494382022	1351
YBL076C	1073	118.902143523	127582
YBL078C	118	12.0	1416
YBL079W	1503	6.83033932136	10266
