Gene	Length(codons)	Average reads (per codon)	Sum of reads
YAL007C	216	48.1851851852	10408
YAL008W	199	14.7135678392	2928
YAL009W	260	3.01538461538	784
YAL010C	494	2.08502024291	1030
YAL012W	395	314.632911392	124280
YAL013W	406	7.69950738916	3126
YAL014C	256	7.16015625	1833
YAL015C	400	2.8675	1147
YAL016W	636	35.1666666667	22366
YAL017W	1357	2.54826823876	3458
YAL019W	1132	8.60070671378	9736
YAL020C	334	2.95508982036	987
YAL022C	518	8.84942084942	4584
YAL023C	760	34.2960526316	26065
YAL025C	307	32.8338762215	10080
YAL027W	262	3.0572519084	801
YAL029C	1472	2.55298913043	3758
YAL031C	761	1.73981603154	1324
YAL032C	380	4.45526315789	1693
YAL033W	174	14.2183908046	2474
YAL034W-A	290	3.17586206897	921
YAL036C	370	44.7027027027	16540
YAL038W	501	3742.4011976	1874943
YAL039C	270	10.7296296296	2897
YAL040C	581	2.28571428571	1328
YAL041W	855	5.80701754386	4965
YAL042W	416	32.3990384615	13478
YAL043C	786	7.8155216285	6143
YAL044C	171	148.029239766	25313
YAL044W-A	111	27.6126126126	3065
YAL046C	119	20.487394958	2438
YAL047C	623	2.28731942215	1425
YAL048C	663	1.99245852187	1321
YAL049C	247	23.4979757085	5804
YAL051W	1048	2.96374045802	3106
YAL053W	784	8.92857142857	7000
YAL055W	181	4.21546961326	763
YAL056W	881	1.28490351873	1132
YAL058W	503	3.72365805169	1873
YAL059W	213	20.1737089202	4297
YAL060W	383	31.2088772846	11953
YAL061W	418	2.40909090909	1007
YAR002C-A	220	65.2409090909	14353
YAR002W	540	17.2537037037	9317
YAR003W	427	3.24590163934	1386
YAR007C	622	20.8713826367	12982
YAR008W	276	4.86594202899	1343
YAR014C	710	7.48591549296	5315
YAR015W	307	50.7785016287	15589
YAR018C	436	3.58944954128	1565
YAR042W	1189	3.543313709	4213
YBL001C	105	78.980952381	8293
YBL004W	2494	7.26984763432	18131
YBL005W	977	1.71136131013	1672
YBL006C	181	21.0	3801
YBL007C	1245	27.4851405622	34219
YBL008W	841	2.39595719382	2015
YBL009W	677	5.56868537666	3770
YBL010C	281	4.92526690391	1384
YBL013W	402	1.28358208955	516
YBL015W	527	5.48766603416	2892
YBL016W	354	8.25423728814	2922
YBL019W	521	0.959692898273	500
YBL020W	575	4.22608695652	2430
YBL021C	145	10.9655172414	1590
YBL022C	1134	17.6560846561	20022
YBL023C	869	6.95166858458	6041
YBL024W	685	37.6875912409	25816
YBL025W	146	8.28082191781	1209
YBL028C	107	79.5700934579	8514
YBL029C-A	95	7.6	722
YBL030C	319	142.595611285	45488
YBL031W	339	2.80530973451	951
YBL032W	382	41.0942408377	15698
YBL033C	346	12.0144508671	4157
YBL034C	1514	2.30184940555	3485
YBL035C	706	6.69121813031	4724
YBL036C	258	35.5697674419	9177
YBL037W	1026	3.13840155945	3220
YBL038W	233	14.1158798283	3289
YBL039W-B	60	1.81666666667	109
YBL041W	242	90.5826446281	21921
YBL042C	640	11.6625	7464
YBL045C	458	23.9126637555	10952
YBL046W	442	5.16515837104	2283
YBL047C	1382	26.8661360347	37129
YBL051C	669	19.177877429	12830
YBL054W	526	8.36501901141	4400
YBL055C	419	6.67303102625	2796
YBL056W	469	23.0106609808	10792
YBL057C	209	16.3875598086	3425
YBL058W	424	46.5117924528	19721
YBL060W	688	1.7761627907	1222
YBL061C	697	7.37589670014	5141
YBL063W	1112	1.52338129496	1694
YBL064C	262	16.786259542	4398
YBL067C	748	3.72860962567	2789
YBL068W	327	23.9785932722	7841
YBL071W-A	83	48.578313253	4032
YBL074C	356	2.74157303371	976
YBL076C	1073	86.3979496738	92705
YBL078C	118	10.8813559322	1284
YBL079W	1503	4.66600133067	7013
YBL086C	467	3.18843683084	1489
YBL089W	460	2.55652173913	1176
YBL090W	178	15.8370786517	2819
YBL091C	422	41.9691943128	17711
YBL092W	131	2386.98473282	312695
YBL093C	221	19.9592760181	4411
YBL095W	271	1.94833948339	528
YBL097W	755	2.16291390728	1633
YBL098W	461	5.96529284165	2750
YBL099W	546	99.7326007326	54454
YBL101C	1118	2.60107334526	2908
YBL102W	216	21.8194444444	4713
YBL103C	487	4.96509240246	2418
YBL104C	1039	2.01154956689	2090
YBL105C	1152	3.88541666667	4476
YBL106C	1011	1.07715133531	1089
YBL107C	197	8.78680203046	1731
YBR002C	287	7.57142857143	2173
YBR003W	474	4.65400843882	2206
YBR004C	434	4.20967741935	1827
YBR005W	214	4.03271028037	863
YBR006W	498	3.02610441767	1507
YBR007C	737	2.36770691995	1745
YBR011C	288	685.329861111	197375
YBR012C	140	4.17142857143	584
YBR013C	130	4.88461538462	635
YBR014C	204	20.5294117647	4188
YBR015C	598	17.2926421405	10341
YBR016W	129	79.3178294574	10232
YBR021W	634	1.94952681388	1236
YBR022W	178	9.2808988764	1652
YBR023C	1166	5.18867924528	6050
YBR024W	302	4.1357615894	1249
YBR025C	395	274.192405063	108306
YBR026C	381	18.6640419948	7111
YBR028C	526	4.76615969582	2507
YBR029C	458	14.0655021834	6442
YBR034C	349	33.6131805158	11731
YBR035C	229	54.7161572052	12530
YBR036C	411	21.3722627737	8784
YBR037C	296	6.62162162162	1960
YBR038W	964	9.44190871369	9102
YBR039W	312	56.391025641	17594
YBR041W	670	6.20746268657	4159
YBR042C	398	6.57035175879	2615
YBR044C	573	1.78184991274	1021
YBR046C	335	15.952238806	5344
YBR047W	176	5.33522727273	939
YBR049C	811	16.8545006165	13669
YBR052C	211	38.327014218	8087
YBR053C	359	13.7353760446	4931
YBR055C	900	2.83555555556	2552
YBR056W	502	9.86653386454	4953
YBR056W-A	67	3.67164179104	246
YBR057C	367	7.77656675749	2854
YBR058C	782	9.36956521739	7327
YBR058C-A	81	66.3580246914	5375
YBR059C	1109	6.08385933273	6747
YBR060C	621	4.84541062802	3009
YBR061C	311	18.8938906752	5876
YBR065C	365	4.60273972603	1680
YBR066C	221	11.5837104072	2560
YBR067C	211	216.454976303	45672
YBR068C	610	28.3672131148	17304
YBR069C	620	26.6548387097	16526
YBR070C	238	5.6218487395	1338
YBR071W	212	17.2169811321	3650
YBR072W	215	12.8604651163	2765
YBR073W	959	6.88321167883	6601
YBR074W	977	6.16581371546	6024
YBR077C	163	18.8895705521	3079
YBR079C	965	45.1523316062	43572
YBR080C	759	24.6890645586	18739
YBR081C	1333	2.88597149287	3847
YBR083W	487	8.41478439425	4098
YBR084W	976	23.1926229508	22636
YBR085C-A	86	67.0813953488	5769
YBR086C	947	12.8489968321	12168
YBR087W	355	13.7915492958	4896
YBR088C	259	59.3976833977	15384
YBR091C	110	16.9363636364	1863
YBR094W	754	6.18965517241	4667
YBR095C	431	5.38979118329	2323
YBR096W	231	27.7705627706	6415
YBR098W	692	1.24566473988	862
YBR101C	291	43.8934707904	12773
YBR102C	754	5.37135278515	4050
YBR103W	536	4.01679104478	2153
YBR104W	330	11.9848484848	3955
YBR105C	363	4.47107438017	1623
YBR106W	189	301.592592593	57001
YBR109C	148	240.885135135	35651
YBR110W	450	6.87111111111	3092
YBR111C	232	50.1767241379	11641
YBR114W	791	1.38685208597	1097
YBR115C	1393	18.4565685571	25710
YBR120C	163	10.1595092025	1656
YBR122C	178	19.7247191011	3511
YBR123C	650	4.67230769231	3037
YBR125C	394	6.05837563452	2387
YBR126C	496	42.9858870968	21321
YBR127C	518	198.013513514	102571
YBR130C	426	11.6079812207	4945
YBR131W	705	1.42127659574	1002
YBR132C	597	2.86767169179	1712
YBR133C	828	3.33333333333	2760
YBR137W	180	23.2944444444	4193
YBR138C	525	2.82666666667	1484
YBR139W	509	11.4086444008	5807
YBR140C	3093	1.21661817006	3763
YBR141C	338	4.62426035503	1563
YBR142W	774	12.2609819121	9490
YBR143C	438	105.089041096	46029
YBR146W	279	14.8673835125	4148
YBR149W	345	47.4057971014	16355
YBR151W	317	13.7129337539	4347
YBR153W	245	3.00408163265	736
YBR154C	216	86.8425925926	18758
YBR155W	386	20.4119170984	7879
YBR156C	699	2.18741058655	1529
YBR157C	256	5.2421875	1342
YBR158W	550	13.2218181818	7272
YBR159W	348	35.3275862069	12294
YBR160W	299	18.4247491639	5509
YBR161W	377	3.20424403183	1208
YBR162C	456	109.39254386	49883
YBR162W-A	66	108.818181818	7182
YBR164C	184	45.6086956522	8392
YBR165W	278	5.90647482014	1642
YBR166C	453	10.9006622517	4938
YBR167C	141	9.09929078014	1283
YBR168W	414	1.23671497585	512
YBR170C	581	11.4423407917	6648
YBR171W	207	29.9710144928	6204
YBR172C	741	9.31174089069	6900
YBR173C	149	75.9798657718	11321
YBR175W	316	4.77848101266	1510
YBR176W	313	8.70607028754	2725
YBR177C	452	16.0265486726	7244
YBR179C	856	3.61448598131	3094
YBR183W	317	1.50788643533	478
YBR185C	279	7.21505376344	2013
YBR187W	281	31.5943060498	8878
YBR188C	141	11.4113475177	1609
YBR191W-A	25	4.2	105
YBR192W	378	6.38624338624	2414
YBR193C	224	8.95535714286	2006
YBR194W	124	6.03225806452	748
YBR195C	423	4.536643026	1919
YBR196C	555	748.383783784	415353
YBR197C	218	6.36697247706	1388
YBR198C	799	9.33166458073	7456
YBR199W	465	14.9548387097	6954
YBR200W	552	6.38043478261	3522
YBR201C-A	68	2.08823529412	142
YBR201W	212	4.27358490566	906
YBR204C	376	3.74734042553	1409
YBR207W	466	9.32188841202	4344
YBR210W	143	10.2797202797	1470
YBR211C	325	4.80615384615	1562
YBR213W	275	4.73454545455	1302
YBR214W	528	6.19318181818	3270
YBR216C	675	4.36740740741	2948
YBR217W	187	1.9679144385	368
YBR221C	367	119.53133515	43868
YBR222C	544	20.8106617647	11321
YBR227C	521	6.29558541267	3280
YBR228W	305	1.46229508197	446
YBR229C	955	7.05445026178	6737
YBR230W-A	67	13.1791044776	883
YBR231C	304	5.03289473684	1530
YBR233W	414	6.70531400966	2776
YBR233W-A	95	13.7473684211	1306
YBR234C	385	43.2753246753	16661
YBR235W	1121	1.59678858162	1790
YBR236C	437	9.60869565217	4199
YBR237W	850	1.40352941176	1193
YBR238C	732	4.39890710383	3220
YBR241C	489	2.51124744376	1228
YBR242W	239	13.8493723849	3310
YBR243C	449	7.19376391982	3230
YBR244W	163	48.6503067485	7930
YBR245C	1130	11.2221238938	12681
YBR246W	388	6.85824742268	2661
YBR247C	484	25.4049586777	12296
YBR248C	553	20.7848101266	11494
YBR249C	371	158.668463612	58866
YBR251W	308	9.89285714286	3047
YBR252W	148	66.4594594595	9836
YBR253W	122	10.9180327869	1332
YBR254C	176	11.9431818182	2102
YBR255W	695	1.44028776978	1001
YBR256C	239	15.6485355649	3740
YBR257W	280	7.00714285714	1962
YBR258C	143	4.87412587413	697
YBR260C	667	5.99700149925	4000
YBR261C	233	34.4592274678	8029
YBR262C	107	14.8411214953	1588
YBR263W	491	67.4684317719	33127
YBR264C	200	9.775	1955
YBR265W	321	13.9937694704	4492
YBR267W	394	19.8197969543	7809
YBR268W	106	26.3773584906	2796
YBR269C	139	27.9784172662	3889
YBR271W	420	6.00238095238	2521
YBR272C	481	5.41164241164	2603
YBR273C	437	11.6086956522	5073
YBR274W	528	2.61553030303	1381
YBR275C	1917	1.43296817945	2747
YBR276C	808	1.34405940594	1086
YBR278W	202	6.09900990099	1232
YBR279W	446	14.1457399103	6309
YBR280C	638	1.44200626959	920
YBR281C	879	5.14562002275	4523
YBR282W	147	20.2176870748	2972
YBR283C	491	58.6109979633	28778
YBR286W	538	157.278810409	84616
YBR287W	428	10.8457943925	4642
YBR288C	484	9.69421487603	4692
YBR290W	322	9.77639751553	3148
YBR291C	300	4.10333333333	1231
YBR296C	575	5.42260869565	3118
YCL001W	189	42.1164021164	7960
YCL005W	257	3.15953307393	812
YCL008C	386	4.9585492228	1914
YCL009C	310	114.732258065	35567
YCL010C	260	7.50769230769	1952
YCL011C	428	27.796728972	11897
YCL014W	1637	2.77825290165	4548
YCL016C	381	3.06299212598	1167
YCL017C	498	26.1686746988	13032
YCL024W	1038	1.54913294798	1608
YCL026C-B	194	9.0824742268	1762
YCL027W	513	1.57115009747	806
YCL029C	441	6.03174603175	2660
YCL030C	800	38.62375	30899
YCL031C	298	21.0402684564	6270
YCL032W	347	4.34870317003	1509
YCL033C	169	20.9467455621	3540
YCL034W	355	18.8028169014	6675
YCL035C	111	115.027027027	12768
YCL036W	567	2.76895943563	1570
YCL037C	435	141.434482759	61524
YCL038C	529	2.72778827977	1443
YCL039W	746	2.48257372654	1852
YCL044C	418	7.08133971292	2960
YCL045C	761	23.4770039422	17866
YCL047C	259	7.30115830116	1891
YCL049C	313	3.41853035144	1070
YCL050C	322	139.403726708	44888
YCL051W	584	2.78767123288	1628
YCL052C	417	4.2829736211	1786
YCL054W	842	14.5296912114	12234
YCL054W-A	29	10.6206896552	308
YCL055W	336	7.75595238095	2606
YCL056C	145	2.51034482759	364
YCL057C-A	98	80.7040816327	7909
YCL057W	713	22.5511921459	16079
YCL058W-A	114	18.8947368421	2154
YCL059C	317	44.4858044164	14102
YCL061C	1097	3.13582497721	3440
YCL063W	424	4.93867924528	2094
YCL064C	361	150.534626039	54343
YCR002C	323	32.9721362229	10650
YCR003W	184	14.5434782609	2676
YCR004C	248	81.1169354839	20117
YCR005C	461	41.1236442516	18958
YCR008W	604	6.5678807947	3967
YCR009C	266	48.5187969925	12906
YCR011C	1050	9.72666666667	10213
YCR012W	417	3557.81055156	1483607
YCR015C	318	2.80503144654	892
YCR016W	291	22.7697594502	6626
YCR017C	954	7.93081761006	7566
YCR018C	222	6.44594594595	1431
YCR019W	364	2.46703296703	898
YCR020C-A	89	24.3033707865	2163
YCR020W-B	79	19.1139240506	1510
YCR023C	612	1.89379084967	1159
YCR024C	493	1.30020283976	641
YCR026C	743	3.72812920592	2770
YCR027C	210	4.7380952381	995
YCR028C	513	3.92592592593	2014
YCR030C	871	8.81515499426	7678
YCR033W	1227	3.15892420538	3876
YCR034W	348	61.9712643678	21566
YCR035C	395	13.0151898734	5141
YCR036W	334	12.1377245509	4054
YCR042C	1408	3.58380681818	5046
YCR043C	128	38.90625	4980
YCR044C	358	7.51955307263	2692
YCR046C	170	24.1352941176	4103
YCR047C	276	17.6014492754	4858
YCR048W	611	9.91816693944	6060
YCR051W	223	41.1479820628	9176
YCR052W	484	14.5619834711	7048
YCR053W	515	175.106796117	90180
YCR054C	564	4.39893617021	2481
YCR057C	924	12.7673160173	11797
YCR059C	259	11.7722007722	3049
YCR060W	112	20.6071428571	2308
YCR061W	632	11.0094936709	6958
YCR063W	158	5.38607594937	851
YCR065W	565	7.92566371681	4478
YCR066W	488	1.60860655738	785
YCR068W	521	2.19961612284	1146
YCR069W	319	19.2507836991	6141
YCR071C	147	15.1700680272	2230
YCR072C	516	16.6317829457	8582
YCR073W-A	316	16.8449367089	5323
YCR075C	261	3.59770114943	939
YCR075W-A	76	23.2894736842	1770
YCR076C	251	6.93227091633	1740
YCR077C	797	21.0288582183	16760
YCR081W	1428	1.39915966387	1998
YCR082W	129	38.7751937984	5002
YCR083W	128	23.125	2960
YCR084C	714	21.9901960784	15701
YCR086W	191	9.34031413613	1784
YCR088W	593	96.8735244519	57446
YCR090C	183	22.6393442623	4143
YCR092C	1019	2.27968596663	2323
YCR093W	2109	7.36557610242	15534
YCR094W	392	9.21173469388	3611
YCR095C	363	3.6914600551	1340
YDL001W	431	4.55452436195	1963
YDL002C	204	13.7303921569	2801
YDL003W	567	7.26102292769	4117
YDL004W	161	75.6149068323	12174
YDL006W	282	7.79432624113	2198
YDL007W	438	55.7876712329	24435
YDL008W	166	11.5722891566	1921
YDL010W	232	10.7155172414	2486
YDL013W	620	2.82741935484	1753
YDL015C	311	63.3633440514	19706
YDL017W	508	2.3937007874	1216
YDL018C	226	11.3982300885	2576
YDL019C	1284	4.82554517134	6196
YDL020C	532	12.6992481203	6756
YDL021W	312	3.70512820513	1156
YDL022W	392	74.75	29302
YDL025C	621	2.45088566828	1522
YDL027C	421	2.36342042755	995
YDL028C	765	2.76470588235	2115
YDL030W	531	3.64030131827	1933
YDL031W	996	16.5240963855	16458
YDL033C	418	1.46172248804	611
YDL036C	463	4.19438444924	1942
YDL040C	855	25.7766081871	22039
YDL042C	563	5.30017761989	2984
YDL043C	267	9.91011235955	2646
YDL044C	441	3.24716553288	1432
YDL045C	307	5.27687296417	1620
YDL045W-A	96	29.7604166667	2857
YDL046W	174	53.0	9222
YDL047W	312	17.5	5460
YDL051W	276	86.5362318841	23884
YDL052C	304	25.9440789474	7887
YDL053C	186	31.0215053763	5770
YDL054C	487	4.41683778234	2151
YDL055C	362	530.129834254	191907
YDL056W	834	3.55275779376	2963
YDL057W	329	2.68085106383	882
YDL058W	1791	5.08207705193	9102
YDL059C	239	2.48117154812	593
YDL060W	789	15.072243346	11892
YDL063C	621	12.5120772947	7770
YDL065C	343	17.6239067055	6045
YDL066W	429	84.1491841492	36100
YDL067C	60	86.3833333333	5183
YDL069C	230	1.93043478261	444
YDL070W	639	13.2660406886	8477
YDL072C	204	44.5245098039	9083
YDL073W	985	1.44162436548	1420
YDL074C	701	9.22539229672	6467
YDL076C	295	7.75254237288	2287
YDL077C	1050	1.69523809524	1780
YDL078C	344	39.3430232558	13534
YDL080C	610	1.16721311475	712
YDL084W	447	203.011185682	90746
YDL085C-A	69	50.8115942029	3506
YDL086W	274	24.8905109489	6820
YDL087C	262	4.09923664122	1074
YDL088C	529	8.20982986767	4343
YDL089W	485	3.0618556701	1485
YDL090C	432	4.36342592593	1885
YDL091C	456	2.21929824561	1012
YDL092W	147	42.5578231293	6256
YDL093W	744	4.72983870968	3519
YDL095W	818	35.7273838631	29225
YDL097C	435	56.167816092	24433
YDL098C	195	6.4358974359	1255
YDL099W	342	20.3040935673	6944
YDL100C	355	113.867605634	40423
YDL101C	514	5.14785992218	2646
YDL102W	1098	6.03005464481	6621
YDL103C	478	26.2008368201	12524
YDL105W	403	2.35980148883	951
YDL107W	352	2.46306818182	867
YDL110C	151	12.7748344371	1929
YDL111C	266	17.1428571429	4560
YDL112W	1437	6.61586638831	9507
YDL113C	641	3.08424336973	1977
YDL116W	727	7.53920220083	5481
YDL117W	886	3.81828442438	3383
YDL119C	308	3.17207792208	977
YDL120W	175	26.4571428571	4630
YDL121C	150	35.0733333333	5261
YDL122W	810	8.64567901235	7003
YDL123W	141	9.75177304965	1375
YDL124W	313	52.482428115	16427
YDL126C	836	156.244019139	130620
YDL127W	309	5.04854368932	1560
YDL128W	412	19.859223301	8182
YDL129W	292	2.97945205479	870
YDL130W-A	87	28.4827586207	2478
YDL132W	816	10.6642156863	8702
YDL133W	438	2.78310502283	1219
YDL135C	203	47.4482758621	9632
YDL139C	224	3.5625	798
YDL140C	1734	20.9417531719	36313
YDL141W	691	7.38350217077	5102
YDL142C	284	3.66549295775	1041
YDL143W	529	58.7145557656	31060
YDL144C	357	9.0	3213
YDL145C	1202	25.0665557404	30130
YDL146W	492	1.69308943089	833
YDL147W	446	56.1031390135	25022
YDL148C	811	18.8199753391	15263
YDL150W	423	12.5886524823	5325
YDL153C	611	22.6022913257	13810
YDL155W	428	5.93457943925	2540
YDL156W	523	2.65009560229	1386
YDL157C	119	63.7983193277	7592
YDL159W	516	3.65697674419	1887
YDL160C	507	68.1439842209	34549
YDL160C-A	81	16.6790123457	1351
YDL161W	455	15.8637362637	7218
YDL164C	756	6.04100529101	4567
YDL165W	192	23.7447916667	4559
YDL166C	198	28.7626262626	5695
YDL167C	720	7.86944444444	5666
YDL168W	387	40.2583979328	15580
YDL170W	529	2.06616257089	1093
YDL171C	2146	12.981360671	27858
YDL174C	588	5.01530612245	2949
YDL175C	345	6.51884057971	2249
YDL177C	171	3.14619883041	538
