Gene	Length(codons)	Average reads (per codon)	Sum of reads
YAL007C	216	40.4907407407	8746
YAL008W	199	11.1507537688	2219
YAL009W	260	2.39615384615	623
YAL010C	494	1.71659919028	848
YAL012W	395	287.372151899	113512
YAL013W	406	6.50738916256	2642
YAL014C	256	5.96484375	1527
YAL015C	400	2.1325	853
YAL016W	636	29.1336477987	18529
YAL017W	1357	1.9240972734	2611
YAL019W	1132	7.65901060071	8670
YAL020C	334	2.69461077844	900
YAL022C	518	7.18725868726	3723
YAL023C	760	27.5210526316	20916
YAL025C	307	31.0716612378	9539
YAL027W	262	2.38167938931	624
YAL029C	1472	2.2472826087	3308
YAL031C	761	1.40210249671	1067
YAL032C	380	3.83157894737	1456
YAL033W	174	11.8908045977	2069
YAL034W-A	290	2.52068965517	731
YAL036C	370	41.4702702703	15344
YAL038W	501	3357.14171657	1681928
YAL039C	270	7.84814814815	2119
YAL040C	581	2.19449225473	1275
YAL041W	855	4.77660818713	4084
YAL042W	416	28.4423076923	11832
YAL043C	786	6.76081424936	5314
YAL044C	171	115.976608187	19832
YAL044W-A	111	23.045045045	2558
YAL046C	119	16.2352941176	1932
YAL047C	623	1.86035313002	1159
YAL048C	663	1.56862745098	1040
YAL049C	247	18.971659919	4686
YAL051W	1048	2.42748091603	2544
YAL053W	784	7.21428571429	5656
YAL055W	181	3.10497237569	562
YAL058W	503	2.75944333996	1388
YAL059W	213	17.3051643192	3686
YAL060W	383	23.091383812	8844
YAR002C-A	220	54.4227272727	11973
YAR002W	540	15.2555555556	8238
YAR003W	427	2.81030444965	1200
YAR007C	622	17.6028938907	10949
YAR008W	276	3.75362318841	1036
YAR014C	710	6.1676056338	4379
YAR015W	307	45.8566775244	14078
YAR018C	436	3.12385321101	1362
YAR042W	1189	2.61480235492	3109
YBL001C	105	63.619047619	6680
YBL004W	2494	6.1724137931	15394
YBL006C	181	19.591160221	3546
YBL007C	1245	22.7646586345	28342
YBL008W	841	1.93935790725	1631
YBL009W	677	4.97932053176	3371
YBL010C	281	4.28825622776	1205
YBL013W	402	1.07960199005	434
YBL015W	527	5.07400379507	2674
YBL016W	354	7.88983050847	2793
YBL020W	575	3.4347826087	1975
YBL021C	145	8.96551724138	1300
