Gene	Length(codons)	Average reads (per codon)	Sum of reads
YAL007C	216	31.4212962963	6787
YAL008W	199	8.89447236181	1770
YAL009W	260	1.88076923077	489
YAL010C	494	1.33603238866	660
YAL012W	395	207.463291139	81948
YAL013W	406	4.71921182266	1916
YAL014C	256	4.6953125	1202
YAL015C	400	1.6725	669
YAL016W	636	21.5550314465	13709
YAL019W	1132	5.56890459364	6304
YAL020C	334	1.85628742515	620
YAL022C	518	5.7471042471	2977
YAL023C	760	22.4	17024
YAL025C	307	22.8925081433	7028
YAL027W	262	1.66030534351	435
YAL029C	1472	1.54891304348	2280
YAL031C	761	1.061760841	808
YAL032C	380	2.66578947368	1013
YAL033W	174	9.09770114943	1583
YAL034W-A	290	1.94482758621	564
YAL036C	370	29.9675675676	11088
YAL038W	501	2388.61077844	1196694
YAL039C	270	6.22962962963	1682
YAL040C	581	1.50602409639	875
YAL041W	855	3.40116959064	2908
YAL042W	416	21.4014423077	8903
YAL043C	786	5.07888040712	3992
YAL044C	171	88.8479532164	15193
YAL044W-A	111	16.8558558559	1871
YAL046C	119	11.8487394958	1410
YAL047C	623	1.55858747994	971
YAL048C	663	1.14177978884	757
YAL049C	247	14.5506072874	3594
YAL051W	1048	1.66221374046	1742
YAL053W	784	5.83290816327	4573
YAL055W	181	2.34806629834	425
YAL058W	503	2.29821073559	1156
YAL059W	213	13.6384976526	2905
YAL060W	383	17.2924281984	6623
YAR002C-A	220	43.8136363636	9639
YAR002W	540	11.3592592593	6134
YAR003W	427	2.05386416862	877
YAR007C	622	13.2170418006	8221
YAR008W	276	2.98913043478	825
YAR014C	710	4.6323943662	3289
YAR015W	307	33.0912052117	10159
YAR018C	436	2.35091743119	1025
YBL001C	105	49.0476190476	5150
YBL004W	2494	4.40296712109	10981
YBL006C	181	13.4806629834	2440
YBL007C	1245	16.9156626506	21060
YBL008W	841	1.36504161712	1148
YBL009W	677	3.66765140325	2483
YBL010C	281	3.13167259786	880
YBL015W	527	3.35294117647	1767
YBL016W	354	5.75988700565	2039
YBL020W	575	2.83304347826	1629
YBL021C	145	6.31034482759	915
YBL022C	1134	10.1922398589	11558
