Gene	Length(codons)	Average reads (per codon)	Sum of reads
YAL007C	216	38.8796296296	8398
YAL008W	199	12.1206030151	2412
YAL009W	260	2.35769230769	613
YAL010C	494	1.83198380567	905
YAL012W	395	280.759493671	110900
YAL013W	406	6.75123152709	2741
YAL014C	256	5.79296875	1483
YAL016W	636	29.4795597484	18749
YAL017W	1357	2.22476050111	3019
YAL019W	1132	7.1183745583	8058
YAL020C	334	2.40718562874	804
YAL022C	518	7.1583011583	3708
YAL023C	760	25.9973684211	19758
YAL025C	307	28.2899022801	8685
YAL027W	262	2.4427480916	640
YAL029C	1472	2.18885869565	3222
YAL031C	761	1.48620236531	1131
YAL032C	380	3.58684210526	1363
YAL033W	174	12.1436781609	2113
YAL034W-A	290	2.67931034483	777
YAL036C	370	38.7297297297	14330
YAL038W	501	3325.53493014	1666093
YAL039C	270	8.28888888889	2238
YAL040C	581	1.917383821	1114
YAL041W	855	4.92748538012	4213
YAL042W	416	26.96875	11219
YAL043C	786	6.67430025445	5246
YAL044C	171	120.222222222	20558
YAL044W-A	111	24.1531531532	2681
YAL046C	119	17.1764705882	2044
YAL047C	623	1.98715890851	1238
YAL048C	663	1.51583710407	1005
YAL049C	247	19.8380566802	4900
YAL051W	1048	2.46946564885	2588
YAL053W	784	6.93494897959	5437
YAL055W	181	3.67403314917	665
YAL058W	503	2.94433399602	1481
YAL059W	213	17.0469483568	3631
YAL060W	383	24.4673629243	9371
YAL061W	418	1.52392344498	637
YAR002C-A	220	53.9545454545	11870
YAR002W	540	15.0703703704	8138
YAR003W	427	2.81030444965	1200
YAR007C	622	17.5932475884	10943
YAR008W	276	3.77898550725	1043
YAR014C	710	6.09154929577	4325
YAR015W	307	43.8664495114	13467
YAR018C	436	3.14220183486	1370
YAR042W	1189	2.81581160639	3348
YBL001C	105	67.3238095238	7069
YBL004W	2494	6.11387329591	15248
YBL005W	977	1.3142272262	1284
YBL006C	181	17.8563535912	3232
YBL007C	1245	23.2240963855	28914
YBL008W	841	1.94887039239	1639
YBL009W	677	5.00295420975	3387
YBL010C	281	4.37366548043	1229
YBL013W	402	1.13184079602	455
YBL015W	527	4.82352941176	2542
YBL016W	354	7.55649717514	2675
YBL019W	521	0.984644913628	513
