Gene	Length(codons)	Average reads (per codon)	Sum of reads
YAL007C	216	53.5509259259	11567
YAL008W	199	14.7989949749	2945
YAL009W	260	3.28076923077	853
YAL010C	494	2.1963562753	1085
YAL012W	395	344.648101266	136136
YAL013W	406	8.07881773399	3280
YAL014C	256	7.08984375	1815
YAL015C	400	2.87	1148
YAL016W	636	37.2169811321	23670
YAL017W	1357	2.54384672071	3452
YAL019W	1132	9.6925795053	10972
YAL020C	334	3.32335329341	1110
YAL022C	518	8.91312741313	4617
YAL023C	760	35.5131578947	26990
YAL025C	307	38.3973941368	11788
YAL027W	262	3.04198473282	797
YAL029C	1472	2.7785326087	4090
YAL031C	761	1.80814717477	1376
YAL032C	380	4.45	1691
YAL033W	174	15.2988505747	2662
YAL034W-A	290	3.28620689655	953
YAL036C	370	50.9216216216	18841
YAL038W	501	3972.21956088	1990082
YAL039C	270	10.1740740741	2747
YAL040C	581	2.71600688468	1578
YAL041W	855	5.8514619883	5003
YAL042W	416	34.5216346154	14361
YAL043C	786	7.91857506361	6224
YAL044C	171	147.830409357	25279
YAL044W-A	111	29.0720720721	3227
YAL046C	119	20.3109243697	2417
YAL047C	623	2.38523274478	1486
YAL048C	663	2.01206636501	1334
YAL049C	247	24.5101214575	6054
YAL051W	1048	3.06297709924	3210
YAL053W	784	9.10586734694	7139
YAL055W	181	4.79005524862	867
YAL056W	881	1.32917139614	1171
YAL058W	503	3.79920477137	1911
YAL059W	213	23.4131455399	4987
YAL060W	383	29.2140992167	11189
YAR002C-A	220	74.7545454545	16446
YAR002W	540	18.85	10179
YAR003W	427	3.3700234192	1439
YAR007C	622	21.6463022508	13464
YAR008W	276	5.4384057971	1501
YAR014C	710	7.97042253521	5659
YAR015W	307	53.2996742671	16363
YAR018C	436	3.92431192661	1711
YBL001C	105	85.6666666667	8995
YBL004W	2494	7.57177225341	18884
YBL005W	977	1.39713408393	1365
YBL006C	181	22.2651933702	4030
YBL008W	841	2.49940546968	2102
YBL009W	677	5.9940915805	4058
YBL010C	281	5.43416370107	1527
YBL013W	402	1.35074626866	543
YBL014C	895	1.05698324022	946
YBL015W	527	6.04933586338	3188
YBL016W	354	9.08757062147	3217
YBL019W	521	1.08253358925	564
YBL020W	575	4.54086956522	2611
YBL021C	145	10.8344827586	1571
YBL022C	1134	17.7248677249	20100
YBL023C	869	7.15420023015	6217
YBL024W	685	42.4481751825	29077
YBL025W	146	9.1095890411	1330
YBL028C	107	91.1869158879	9757
YBL029C-A	95	7.93684210526	754
YBL030C	319	154.131661442	49168
YBL031W	339	2.96460176991	1005
YBL032W	382	44.5706806283	17026
YBL033C	346	12.7052023121	4396
YBL034C	1514	2.37714663144	3599
YBL035C	706	7.17988668555	5069
YBL036C	258	39.0736434109	10081
YBL037W	1026	3.24366471735	3328
YBL038W	233	14.0686695279	3278
YBL039W-B	60	1.51666666667	91
YBL041W	242	98.8223140496	23915
YBL042C	640	13.365625	8554
YBL045C	458	24.8886462882	11399
YBL047C	1382	28.4435600579	39309
YBL051C	669	19.0732436472	12760
YBL054W	526	10.1273764259	5327
YBL055C	419	6.98329355609	2926
YBL056W	469	23.5906183369	11064
YBL057C	209	17.2344497608	3602
YBL058W	424	50.016509434	21207
YBL060W	688	1.91279069767	1316
YBL061C	697	8.13486370158	5670
YBL063W	1112	1.54496402878	1718
YBL064C	262	17.4923664122	4583
YBL067C	748	4.12165775401	3083
YBL068W	327	26.3516819572	8617
YBL071W-A	83	55.2168674699	4583
YBL074C	356	3.03651685393	1081
YBL076C	1073	93.7054986021	100546
YBL078C	118	10.4915254237	1238
YBL079W	1503	5.21889554225	7844
YBL080C	542	1.12730627306	611
YBL085W	981	5.35575942915	5254
YBL086C	467	3.44539614561	1609
YBL089W	460	2.55217391304	1174
YBL090W	178	15.4213483146	2745
YBL091C	422	47.4170616114	20010
YBL092W	131	2645.82442748	346603
YBL093C	221	20.8597285068	4610
YBL095W	271	1.90774907749	517
YBL097W	755	2.32052980132	1752
YBL098W	461	6.38394793926	2943
YBL099W	546	108.820512821	59416
YBL101C	1118	2.771019678	3098
YBL102W	216	21.0694444444	4551
YBL103C	487	5.54414784394	2700
YBL104C	1039	2.15591915303	2240
YBL105C	1152	4.16753472222	4801
YBL106C	1011	1.19287833828	1206
YBL107C	197	8.65989847716	1706
YBR002C	287	9.09756097561	2611
YBR003W	474	4.96624472574	2354
YBR004C	434	4.44239631336	1928
YBR005W	214	3.95327102804	846
YBR006W	498	3.0702811245	1529
YBR007C	737	2.59972862958	1916
YBR011C	288	727.84375	209619
YBR012C	140	3.60714285714	505
YBR014C	204	23.1715686275	4727
YBR015C	598	18.0735785953	10808
YBR017C	919	18.3949945593	16905
YBR021W	634	2.17350157729	1378
YBR022W	178	8.38764044944	1493
YBR023C	1166	5.49056603774	6402
YBR024W	302	3.79139072848	1145
YBR025C	395	308.129113924	121711
YBR026C	381	19.2362204724	7329
YBR028C	526	5.0247148289	2643
YBR029C	458	14.6048034934	6689
YBR030W	553	3.36528028933	1861
YBR034C	349	37.893982808	13225
YBR035C	229	57.6681222707	13206
YBR036C	411	21.9781021898	9033
YBR037C	296	5.81756756757	1722
YBR038W	964	10.1203319502	9756
YBR039W	312	60.1570512821	18769
YBR041W	670	6.41044776119	4295
YBR042C	398	7.70351758794	3066
YBR044C	573	1.70506108202	977
YBR046C	335	15.8656716418	5315
YBR047W	176	5.94318181818	1046
YBR049C	811	17.6387176326	14305
YBR052C	211	39.5260663507	8340
YBR053C	359	13.8718662953	4980
YBR055C	900	2.99888888889	2699
YBR056W	502	10.1035856574	5072
YBR056W-A	67	3.77611940299	253
YBR057C	367	8.3514986376	3065
YBR058C	782	10.3938618926	8128
YBR058C-A	81	71.9259259259	5826
YBR059C	1109	6.39765554554	7095
YBR060C	621	5.3268921095	3308
YBR061C	311	20.9324758842	6510
YBR065C	365	4.86849315068	1777
YBR066C	221	11.7285067873	2592
YBR067C	211	185.971563981	39240
YBR068C	610	31.4409836066	19179
YBR069C	620	29.3822580645	18217
YBR070C	238	6.1974789916	1475
YBR071W	212	17.641509434	3740
YBR072W	215	9.64651162791	2074
YBR073W	959	7.36809176225	7066
YBR074W	977	6.54554759468	6395
YBR077C	163	18.8895705521	3079
YBR079C	965	48.5616580311	46862
YBR080C	759	26.7839262187	20329
YBR081C	1333	3.13428357089	4178
YBR083W	487	9.81930184805	4782
YBR084W	976	27.5543032787	26893
YBR085C-A	86	63.4418604651	5456
YBR086C	947	13.252375924	12550
YBR087W	355	14.8309859155	5265
YBR088C	259	64.027027027	16583
YBR091C	110	18.2727272727	2010
YBR094W	754	6.74801061008	5088
YBR095C	431	5.95127610209	2565
YBR096W	231	29.2987012987	6768
YBR098W	692	1.33092485549	921
YBR101C	291	46.3367697595	13484
YBR102C	754	5.84217506631	4405
YBR103W	536	4.42723880597	2373
YBR104W	330	13.1151515152	4328
YBR105C	363	4.51515151515	1639
YBR106W	189	327.095238095	61821
YBR107C	246	1.29674796748	319
YBR109C	148	259.506756757	38407
YBR110W	450	6.76222222222	3043
YBR111C	232	53.5689655172	12428
YBR114W	791	1.46776232617	1161
YBR115C	1393	19.7508973439	27513
YBR120C	163	9.42331288344	1536
YBR122C	178	20.1966292135	3595
YBR123C	650	4.8	3120
YBR125C	394	6.31472081218	2488
YBR126C	496	40.3588709677	20018
YBR127C	518	217.613899614	112724
YBR129C	329	5.273556231	1735
YBR130C	426	12.6079812207	5371
YBR131W	705	1.50780141844	1063
YBR132C	597	2.63819095477	1575
YBR133C	828	3.61594202899	2994
YBR137W	180	23.0833333333	4155
YBR138C	525	2.92952380952	1538
YBR139W	509	10.8015717092	5498
YBR140C	3093	1.24636275461	3855
YBR141C	338	5.27810650888	1784
YBR142W	774	14.2596899225	11037
YBR143C	438	118.4543379	51883
YBR146W	279	14.2043010753	3963
YBR149W	345	50.2202898551	17326
YBR151W	317	14.5552050473	4614
YBR152W	292	3.4897260274	1019
YBR153W	245	3.48979591837	855
YBR154C	216	101.055555556	21828
YBR155W	386	23.0544041451	8899
YBR156C	699	2.34907010014	1642
YBR157C	256	5.39453125	1381
YBR158W	550	13.8909090909	7640
YBR159W	348	38.0833333333	13253
YBR160W	299	20.8929765886	6247
YBR161W	377	3.23607427056	1220
YBR162C	456	122.103070175	55679
YBR162W-A	66	121.742424242	8035
YBR164C	184	49.1467391304	9043
YBR165W	278	6.39568345324	1778
YBR166C	453	11.5673289183	5240
YBR167C	141	9.29787234043	1311
YBR168W	414	1.16425120773	482
YBR170C	581	11.7177280551	6808
YBR171W	207	32.193236715	6664
YBR172C	741	10.2415654521	7589
YBR173C	149	81.1543624161	12092
YBR175W	316	4.87974683544	1542
YBR176W	313	8.97763578275	2810
YBR177C	452	16.0486725664	7254
YBR179C	856	3.44158878505	2946
YBR183W	317	1.49211356467	473
YBR185C	279	6.83154121864	1906
YBR187W	281	34.6085409253	9725
YBR188C	141	13.390070922	1888
YBR191W-A	25	5.6	140
YBR192W	378	6.58994708995	2491
YBR193C	224	9.53571428571	2136
YBR194W	124	6.33870967742	786
