Gene	Length(codons)	Average reads (per codon)	Sum of reads
YAL007C	216	48.7546296296	10531
YAL008W	199	12.6532663317	2518
YAL009W	260	3.07307692308	799
YAL010C	494	1.92105263158	949
YAL012W	395	317.293670886	125331
YAL013W	406	7.20935960591	2927
YAL014C	256	7.21875	1848
YAL015C	400	2.44	976
YAL016W	636	31.7625786164	20201
YAL017W	1357	2.08179808401	2825
YAL019W	1132	8.42137809187	9533
YAL020C	334	3.04191616766	1016
YAL022C	518	8.32818532819	4314
YAL023C	760	32.5894736842	24768
YAL025C	307	35.8338762215	11001
YAL027W	262	2.58778625954	678
YAL029C	1472	2.42255434783	3566
YAL031C	761	1.53482260184	1168
YAL032C	380	3.96842105263	1508
YAL033W	174	14.3448275862	2496
YAL034W-A	290	2.81724137931	817
YAL036C	370	46.2540540541	17114
YAL038W	501	3624.31137725	1815780
YAL039C	270	8.7037037037	2350
YAL040C	581	2.33734939759	1358
YAL041W	855	5.14385964912	4398
YAL042W	416	33.4302884615	13907
YAL043C	786	6.97201017812	5480
YAL044C	171	132.286549708	22621
YAL044W-A	111	27.1531531532	3014
YAL046C	119	18.731092437	2229
YAL047C	623	1.95826645265	1220
YAL048C	663	1.77828054299	1179
YAL049C	247	21.951417004	5422
YAL051W	1048	2.39312977099	2508
YAL053W	784	8.44897959184	6624
YAL055W	181	3.80110497238	688
YAL056W	881	1.18842224745	1047
YAL058W	503	3.30218687873	1661
YAL059W	213	20.779342723	4426
YAL060W	383	25.3994778068	9728
YAR002C-A	220	64.0	14080
YAR002W	540	17.0944444444	9231
YAR003W	427	3.25761124122	1391
YAR007C	622	19.1591639871	11917
YAR008W	276	4.77536231884	1318
YAR014C	710	6.84507042254	4860
YAR015W	307	49.8664495114	15309
YAR018C	436	3.53669724771	1542
YAR042W	1189	2.94196804037	3498
YBL001C	105	72.6476190476	7628
YBL004W	2494	6.27706495589	15655
YBL005W	977	1.12589559877	1100
YBL006C	181	21.5359116022	3898
YBL007C	1245	25.1887550201	31360
YBL008W	841	2.22354340071	1870
YBL009W	677	5.35155096012	3623
YBL010C	281	4.59786476868	1292
YBL013W	402	1.18656716418	477
YBL014C	895	1.04022346369	931
YBL015W	527	5.50853889943	2903
YBL016W	354	8.66101694915	3066
YBL019W	521	0.940499040307	490
YBL020W	575	4.04347826087	2325
YBL021C	145	10.0	1450
YBL022C	1134	15.0485008818	17065
YBL023C	869	6.44303797468	5599
YBL024W	685	37.798540146	25892
YBL025W	146	7.95205479452	1161
YBL028C	107	79.9252336449	8552
YBL029C-A	95	7.70526315789	732
YBL030C	319	132.567398119	42289
YBL031W	339	2.47197640118	838
YBL032W	382	40.3036649215	15396
YBL033C	346	11.1647398844	3863
YBL034C	1514	1.88375165125	2852
YBL035C	706	6.23937677054	4405
YBL036C	258	33.9108527132	8749
YBL037W	1026	2.76900584795	2841
YBL038W	233	11.7939914163	2748
YBL039W-B	60	1.51666666667	91
YBL041W	242	87.0826446281	21074
YBL042C	640	11.4515625	7329
YBL045C	458	23.1288209607	10593
YBL047C	1382	24.4319826339	33765
YBL051C	669	15.7832585949	10559
YBL054W	526	9.00950570342	4739
YBL055C	419	6.35322195704	2662
YBL056W	469	21.3390191898	10008
YBL057C	209	16.1244019139	3370
YBL058W	424	44.2523584906	18763
YBL060W	688	1.6351744186	1125
YBL061C	697	7.22668579627	5037
YBL063W	1112	1.34712230216	1498
YBL064C	262	15.5381679389	4071
YBL067C	748	3.5935828877	2688
YBL068W	327	24.3425076453	7960
YBL071W-A	83	52.5301204819	4360
YBL074C	356	2.5308988764	901
YBL076C	1073	82.1034482759	88097
YBL078C	118	8.02542372881	947
YBL079W	1503	4.40785096474	6625
YBL086C	467	3.12633832976	1460
YBL089W	460	2.44565217391	1125
YBL090W	178	13.3595505618	2378
YBL091C	422	41.2654028436	17414
YBL092W	131	2484.88549618	325520
YBL093C	221	19.6334841629	4339
YBL095W	271	1.80811808118	490
YBL097W	755	2.06225165563	1557
YBL098W	461	5.43600867679	2506
YBL099W	546	96.2893772894	52574
YBL101C	1118	2.36940966011	2649
YBL102W	216	19.5185185185	4216
YBL103C	487	4.38809034908	2137
YBL104C	1039	1.92589027911	2001
YBL105C	1152	3.65104166667	4206
YBL107C	197	7.44162436548	1466
YBR002C	287	8.38675958188	2407
YBR003W	474	4.22151898734	2001
YBR004C	434	3.77419354839	1638
YBR005W	214	3.69626168224	791
YBR006W	498	2.35742971888	1174
YBR007C	737	2.1289009498	1569
YBR011C	288	658.795138889	189733
YBR012C	140	3.35	469
YBR013C	130	3.87692307692	504
YBR014C	204	19.8137254902	4042
YBR015C	598	16.2491638796	9717
YBR021W	634	1.89589905363	1202
YBR022W	178	7.88764044944	1404
YBR023C	1166	4.97855917667	5805
YBR024W	302	3.38741721854	1023
YBR025C	395	273.597468354	108071
YBR026C	381	16.8477690289	6419
YBR028C	526	4.50380228137	2369
YBR029C	458	12.9847161572	5947
YBR030W	553	3.11934900542	1725
YBR034C	349	34.88252149	12174
YBR035C	229	50.9650655022	11671
YBR036C	411	19.7785888078	8129
YBR037C	296	5.15540540541	1526
YBR038W	964	8.91078838174	8590
YBR039W	312	54.4294871795	16982
YBR041W	670	5.81492537313	3896
YBR042C	398	6.41206030151	2552
YBR044C	573	1.4502617801	831
YBR046C	335	12.6179104478	4227
YBR047W	176	3.73295454545	657
YBR049C	811	15.2675709001	12382
YBR052C	211	33.5402843602	7077
YBR053C	359	11.9665738162	4296
YBR055C	900	2.43888888889	2195
YBR056W	502	8.4561752988	4245
YBR056W-A	67	3.49253731343	234
YBR057C	367	7.3651226158	2703
YBR058C	782	8.99360613811	7033
YBR058C-A	81	59.7283950617	4838
YBR059C	1109	5.55275022543	6158
YBR060C	621	4.78421900161	2971
YBR061C	311	19.308681672	6005
YBR065C	365	4.30136986301	1570
YBR066C	221	9.56561085973	2114
YBR067C	211	167.55450237	35354
YBR068C	610	26.6163934426	16236
YBR069C	620	26.6161290323	16502
YBR070C	238	5.31512605042	1265
YBR071W	212	16.4764150943	3493
YBR072W	215	7.00930232558	1507
YBR073W	959	6.56412930136	6295
YBR074W	977	5.77175025589	5639
YBR077C	163	16.6196319018	2709
YBR079C	965	42.7056994819	41211
YBR080C	759	23.0039525692	17460
YBR081C	1333	2.63690922731	3515
YBR083W	487	8.84394250513	4307
YBR084W	976	25.949795082	25327
YBR085C-A	86	55.4302325581	4767
YBR085W	308	6.02597402597	1856
YBR086C	947	11.5068637804	10897
YBR087W	355	13.3126760563	4726
YBR088C	259	58.4749034749	15145
YBR091C	110	15.9090909091	1750
YBR094W	754	5.70291777188	4300
YBR095C	431	5.06728538283	2184
YBR096W	231	25.5281385281	5897
YBR098W	692	0.989884393064	685
YBR101C	291	40.4914089347	11783
YBR102C	754	5.21087533156	3929
YBR103W	536	3.8078358209	2041
YBR104W	330	12.8303030303	4234
YBR105C	363	3.4738292011	1261
YBR106W	189	300.412698413	56778
YBR109C	148	234.885135135	34763
YBR110W	450	6.16444444444	2774
YBR111C	232	48.6853448276	11295
YBR114W	791	1.28571428571	1017
YBR115C	1393	18.1055276382	25221
YBR120C	163	7.70552147239	1256
YBR122C	178	16.8651685393	3002
YBR123C	650	4.24615384615	2760
YBR125C	394	5.90862944162	2328
YBR126C	496	34.9637096774	17342
YBR127C	518	191.38030888	99135
YBR129C	329	4.97568389058	1637
YBR130C	426	10.382629108	4423
YBR131W	705	1.29787234043	915
YBR132C	597	2.11390284757	1262
YBR133C	828	3.32125603865	2750
YBR137W	180	18.9055555556	3403
YBR138C	525	2.36571428571	1242
YBR139W	509	9.06286836935	4613
YBR141C	338	4.76627218935	1611
YBR141W-A	32	1.28125	41
YBR142W	774	12.515503876	9687
YBR143C	438	105.894977169	46382
YBR146W	279	12.3655913978	3450
YBR149W	345	41.9739130435	14481
YBR151W	317	12.6782334385	4019
YBR152W	292	3.11301369863	909
YBR153W	245	3.08571428571	756
YBR154C	216	89.9583333333	19431
YBR155W	386	20.3316062176	7848
YBR156C	699	2.03719599428	1424
YBR157C	256	4.37109375	1119
YBR158W	550	12.4472727273	6846
YBR159W	348	34.1494252874	11884
YBR160W	299	18.2876254181	5468
YBR161W	377	3.07427055703	1159
YBR162C	456	110.157894737	50232
YBR162W-A	66	102.363636364	6756
YBR164C	184	43.5923913043	8021
YBR165W	278	5.43525179856	1511
YBR166C	453	10.0286975717	4543
YBR167C	141	7.97872340426	1125
YBR168W	414	1.0193236715	422
YBR170C	581	10.5645438898	6138
YBR171W	207	27.8985507246	5775
YBR172C	741	8.83940620783	6550
YBR173C	149	73.2281879195	10911
YBR175W	316	4.4746835443	1414
YBR176W	313	8.58785942492	2688
YBR177C	452	13.3628318584	6040
YBR179C	856	2.95443925234	2529
YBR183W	317	1.05993690852	336
YBR185C	279	5.88888888889	1643
YBR187W	281	32.9857651246	9269
YBR188C	141	10.4680851064	1476
YBR191W-A	25	3.56	89
YBR192W	378	5.43650793651	2055
YBR193C	224	8.19196428571	1835
YBR194W	124	4.66935483871	579
YBR195C	423	4.21749408983	1784
YBR196C	555	682.872072072	378994
